Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_06_298.jpg,-10.5,1,0,1.267811,100.3487,86.39914,1.22142,45.7804,0.004625143
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_06_366.jpg,-7.518111,1,0,1.314646,100.4277,86.46996,1.235876,44.68303,0.004368816
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_06_432.jpg,-4.498597,1,0,1.361766,100.4891,86.52551,1.244625,44.11278,0.002752815
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_06_498.jpg,-1.510043,1,0,1.424306,100.5521,86.5834,1.245346,43.77845,0.001357394
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_06_565.jpg,0,1,0,1.471771,100.6383,86.6647,1.249192,43.69513,-0.000786459
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_06_632.jpg,0,1,0,1.519788,100.7053,86.72813,1.254908,43.67786,-0.000961473
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_06_696.jpg,0,1,0,1.581741,100.7742,86.79343,1.256358,43.66696,-0.0009719881
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_06_767.jpg,0,1,0,1.627866,100.8693,86.88351,1.26371,43.65254,-0.001007164
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_06_831.jpg,0,1,0,1.674209,100.943,86.95326,1.267251,43.63991,-0.001003643
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_06_897.jpg,0,1,0,1.734663,101.0188,87.02493,1.274051,43.62883,-0.001028144
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_06_964.jpg,0,1,0,1.781242,101.1228,87.12331,1.277508,43.61448,-0.001045919
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_07_033.jpg,0,1,0,1.826783,101.2033,87.19931,1.28234,43.60344,-0.001061506
